City,Metro Population (approx.),NBA Team in Market,Prior WNBA History,Ownership Backing,Arena,Arena Capacity (approx.),New Facility Needed?,Tourist Draws,Food & Dining Scene,Women's Sports Fan Signal,Bid Status,Notes
"Charlotte, NC",2800000,Yes,Charlotte Sting (1997-2006),Hornets Sports & Entertainment (NBA-backed),Spectrum Center,19000,No,"NASCAR Hall of Fame, US National Whitewater Center, Uptown",Strong Southern food/BBQ scene,Sting alumni fan base; NBA-owner backing,"Formal bid, not chosen",One of only two rejected bids backed by an NBA owner
"Denver, CO",3000000,Yes,No prior team,Local investors (not Nuggets ownership),New arena proposed,10000,Yes,"Rocky Mountain access, Red Rocks, outdoor tourism",Nationally known craft beer scene,Strong Title IX/college sports culture,"Formal bid, not chosen",Bid was independent of Nuggets ownership
"Austin, TX",2500000,No,No prior team,Group incl. investors close to Kevin Durant,Moody Center (UT Austin),11000,No,"SXSW, Live Music Capital, Barton Springs",Renowned food-truck/live-music dining culture,"Large young population, strong UT culture","Formal bid, not chosen",Biggest handicap: no NBA team/ownership in-market
"Nashville, TN",2100000,No,No prior team,"Bill Haslam, Candace Parker, Peyton Manning",Bridgestone Arena / proposed venue,10000,Possible,"Music Row, Grand Ole Opry, honky-tonk district",Famous hot chicken/live-venue dining scene,Proposed name 'Summitt' honoring Pat Summitt,"Formal bid, not chosen",Star power did not overcome lack of NBA tie-in
"Kansas City, MO",2200000,No,No prior team,Group incl. Patrick Mahomes,T-Mobile Center,18500,No,"WWI Museum, BBQ culture, Union Station",Nationally known BBQ scene,Framed as 'no-brainer' given WNBA's success,"Formal bid, not chosen",Lacks an NBA team in-market
"St. Louis, MO",2800000,No,No prior team,Group incl. Jayson Tatum (St. Louis native),Enterprise Center,19000,No,"Gateway Arch, City Museum",Strong Midwestern dining/BBQ scene,Hometown-star-driven bid,"Formal bid, not chosen",No NBA team in-market is a structural disadvantage
"Miami, FL",6300000,Yes,"Miami Sol (2000-02, folded)",Independent group (not Heat ownership),Kaseya Center,19600,No,"South Beach, Art Basel, cruise-port tourism",Internationally known dining/nightlife scene,"Large Latin American fan base, no incumbent base since Sol folded","Formal bid, not chosen",Heat ownership was not involved in this bid
"Jacksonville, FL",1700000,No,No prior team,Not widely publicized,VyStar Veterans Memorial Arena,15000,Possible,"Beaches, riverfront, NFL Jaguars fandom",Growing Southern food scene,Smaller media market than other bidders,"Formal bid, not chosen",Least-publicized of the 9 bids
"Milwaukee, WI",1600000,Yes,No prior team,Not widely publicized,Fiserv Forum,17500,No,"Harley-Davidson Museum, lakefront, brewing heritage","Strong beer/brewery, Midwestern food culture",Lower profile bid relative to others,"Formal bid, not chosen",Smallest metro population among the 9 formal bidders
"Louisville, KY",1400000,No,No prior team,No group secured; Mayor Craig Greenberg has lobbied the league,KFC Yum! Center,22000,No,"Kentucky Derby, Louisville Slugger Museum, bourbon trail",Nationally known bourbon/Southern dining scene,Top-5 nat'l women's college basketball attendance for over a decade; also home to Racing Louisville (NWSL),No formal bid / advocacy only,"Did not file a formal Jan. 2025 bid; smallest market/lowest per-capita income, but genuine arena and fan-base strengths"
"Mexico City, Mexico",22000000,No (G League Capitanes),No prior team,No group publicly identified; not part of the Jan. 2025 round,Arena CDMX,22300,No,"Zocalo/historic center, Teotihuacan, Chapultepec Park",One of the world's top culinary capitals,"Growing (Liga MX Femenil rising), but no dedicated WNBA/pro women's basketball base",No formal bid / advocacy only,"Metro larger than any current NBA/WNBA market; NBA has hosted games there since 1992, G League team since 2020; cross-border travel/visa/broadcast logistics are the real hurdle"
